data_id,iso,event_id_cnty,event_id_no_cnty,event_date,year,time_precision,event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,timestamp,iso3
1349214,562,NIR595,595,22-Mar-18,2018,1,Violence against civilians,Boko Haram - Wilayat Gharb Ifriqiyyah,,2,Civilians (Niger),,7,27,Western Africa,Niger,Diffa,Toumour,Toumour,Toumour,13.6669,13.1198,1,Xinhua,International,"On 22 March, ISWAP militants attacked the village of Toumour and killed at least five civilians and wounded several others, the militants also seized large amounts of food.",5,1524053815,NER
1350740,562,NIR606,606,14-Mar-18,2018,1,Riots/Protests,Rioters (Niger),Students (Niger),5,Police Forces of Niger (2011-),,1,15,Western Africa,Niger,Maradi,Madarounfa,Mjiratawa,Maradi,13.5,7.1017,1,Menastream,Other,"On March 14, a protest organised by students at the Bagalam College in Maradi resulted in confrontations with security forces.",0,1524053816,NER
1351128,562,NIR594,594,12-Mar-18,2018,1,Battle-No change of territory,Islamic State (Greater Sahara),,2,Military Forces of Niger (2011-) Gendarmerie,,1,12,Western Africa,Niger,Tillabery,Tera,Tera,Libiri,13.4264,1.243,1,Actu Niger; Menastream; Local sources,Other-local,"On March 12, presumed ISGS militants attacked the National Guard camp in the village of Libiri, one gendarme was wounded in the attack and the camp burned.",0,1524053817,NER
1351129,562,NIR593,593,12-Mar-18,2018,1,Battle-No change of territory,Islamic State (Greater Sahara),,2,Military Forces of Niger (2011-) Gendarmerie,,1,12,Western Africa,Niger,Tillabery,Ouallam,Simiri,Goube,13.8554,2.0853,1,Menastream; RFI; Actu Niger; Local sources,Other-local,"On March 12, presumed ISGS militants aboard motorbikes attacked a gendarmerie checkpoint in Goube, about 35km north of the capital Niamey on the road towards Ouallam, three gendarmes were killed and one was wounded in the attack.",3,1524053817,NER
1351376,562,NIR592,592,11-Mar-18,2018,1,Battle-No change of territory,GATIA: Imghad Tuareg and Allies Self-Defense Group,,3,Military Forces of Niger (2011-),,1,13,Western Africa,Niger,Tillabery,Ouallam,Tondikiwindi,Mangaize,14.6806,1.9508,2,Menastream; Actu Niger,Other-subnational,"On March 11, GATIA and Nigerien soldiers patrolling the Mali-Niger border area mistakenly exchanged gunfire about 50km from Mangaize, Tillabery Region, a Nigerien soldier was killed and one militiaman wounded.",1,1524053817,NER
1745479,562,NIR605,605,11-Mar-18,2018,1,Battle-No change of territory,Unidentified Communal Militia (Niger),Farmers (Niger),4,Unidentified Communal Militia (Niger),Herders (Niger),4,44,Western Africa,Niger,Diffa,Diffa,Diffa,Komadougou Yobe,13.7163,13.3782,2,Menastream,Other,"On March 11, three people were wounded amidst clashes between farmers and herders in the area of Gramatori, about 3km southeast of Diffa.",0,1536004223,NER
1351728,562,NIR604,604,9-Mar-18,2018,1,Violence against civilians,Islamic State (Greater Sahara),,2,Civilians (Niger),,7,27,Western Africa,Niger,Tillabery,Tera,Kokoro,Foneko,14.2058,0.7438,2,Menastream,Other,"On March 9, villagers found the corpse of an individual killed by militants in the area of Foneko.",1,1524053817,NER
1351883,562,NIR603,603,8-Mar-18,2018,1,Battle-No change of territory,Military Forces of Niger (2011-),,1,Islamic State (Greater Sahara),,2,12,Western Africa,Niger,Tillabery,Ouallam,Tondikiwindi,Firo,15.0235,1.6613,2,Menastream,Other,"On March 8, the Nigerien army killed five ISGS militants, wounded one and arrested three others in the area of Firo.",5,1524053817,NER
1668388,562,NIR591,591,4-Mar-18,2018,1,Riots/Protests,Protesters (Niger),,6,,,0,60,Western Africa,Niger,Niamey,Niamey,Lamorde,Niamey,13.52,2.12,1,Agence France Presse,International,"On March 4, thousands of people took to the street to protest in support of the 2018 budget.",0,1530547981,NER
1353232,562,NIR602,602,1-Mar-18,2018,1,Battle-No change of territory,Military Forces of Niger (2011-),,1,Boko Haram - Wilayat Gharb Ifriqiyyah,,2,12,Western Africa,Niger,Diffa,Maine Soroa,Maine Soroa,Malam Boulamari,13.2054,12.2347,1,Menastream,Other,"On March 1, Nigerien forces conducted a military operation in Malam Boulari to free three civilians who had been abducted by Boko Haram militants two weeks prior. The civilians managed to escape.",0,1524053818,NER
